"Gene","logFC","adj.P.Val","P","SignedZ"
"yaiY",0.492210573243,0.270743559372062,0.270743559372062,1.10135183503373
"ycfJ",0.447308774448233,0.270743559372062,0.270743559372062,1.10135183503373
"ybfF",-0.185091731333979,0.270743559372062,0.270743559372062,-1.10135183503373
"insH10",0.201514135258289,0.271158791474234,0.271158791474234,1.10039790366357
"rnhA",0.165577285424368,0.271158791474234,0.271158791474234,1.10039790366357
"rplA",-0.74433172497272,0.272349464733138,0.272349464733138,-1.09766805289903
"tcyJ",0.460125590313646,0.272349464733138,0.272349464733138,1.09766805289903
"rarD",-0.553058311562904,0.272393206464777,0.272393206464777,-1.0975679221743
"pflC",0.499471935925659,0.272393206464777,0.272393206464777,1.0975679221743
"rbfA",0.316306882419471,0.272393206464777,0.272393206464777,1.0975679221743
"yahI",0.771220250076367,0.272435738453492,0.272435738453492,1.09747057126527
"glxK",-0.417030498338085,0.272435738453492,0.272435738453492,-1.09747057126527
"rpmF",0.135424956946663,0.272435738453492,0.272435738453492,1.09747057126527
"insZ",0.856439292184315,0.272460484881362,0.272460484881362,1.0974139342783
"sieB",-0.482341694782922,0.273042977731696,0.273042977731696,-1.09608180194963
"ydeM",-0.767002304920539,0.273085150614827,0.273085150614827,-1.09598543014932
"yjfZ",-0.487542592120773,0.273085150614827,0.273085150614827,-1.09598543014932
"eutD",0.516408576218389,0.273116458319171,0.273116458319171,1.09591389360734
"appX",0.92759246825613,0.273711357131492,0.273711357131492,1.09455564377182
"gutM",0.6234514364911,0.273711357131492,0.273711357131492,1.09455564377182
"ygiV",-0.235312168832339,0.27416431875438,0.27416431875438,-1.09352281193567
"glmU",-0.221026173665979,0.274299372876105,0.274299372876105,-1.09321509054945
"ygeN",-0.567715550891752,0.274333876031785,0.274333876031785,-1.09313649156361
"frlB",0.437554662980083,0.274333876031785,0.274333876031785,1.09313649156361
"yibA",-0.312729828893734,0.274333876031785,0.274333876031785,-1.09313649156361
"ftsY",0.240124137145451,0.274333876031785,0.274333876031785,1.09313649156361
"mdtP",0.757525813386956,0.27435868544584,0.27435868544584,1.09307997931863
"yjeT",0.683489318381478,0.27435868544584,0.27435868544584,1.09307997931863
"nanT",0.502864517451385,0.27435868544584,0.27435868544584,1.09307997931863
"fimI",-0.441713654029347,0.27435868544584,0.27435868544584,-1.09307997931863
"murI",0.139334462524292,0.27435868544584,0.27435868544584,1.09307997931863
"wzxC",0.597745040192768,0.274603782083789,0.274603782083789,1.09252187223217
"ilvA",0.501722546463736,0.274603782083789,0.274603782083789,1.09252187223217
"ybaV",0.51442279215,0.27519306985266,0.27519306985266,1.09118140170216
"hofM",0.408945576902878,0.275428658784031,0.275428658784031,1.09064604877924
"argE",-0.196217428173097,0.27551305880481,0.27551305880481,-1.0904543339775
"ybcH",-0.2962510939245,0.275965584172082,0.275965584172082,-1.08942710457959
"ggt",-0.606696448074758,0.276266580288046,0.276266580288046,-1.08874448163987
"nuoL",0.335991653505489,0.276456549236844,0.276456549236844,1.08831391595472
"yfdV",0.624222988473525,0.277545124475552,0.277545124475552,1.08585053467593
"yfdP",-0.52875933259123,0.278278861149809,0.278278861149809,-1.08419384268404
"ycbU",0.482828849146242,0.278317944369559,0.278317944369559,1.08410568078218
"ypeB",0.472821263250485,0.278614990143744,0.278614990143744,1.08343589551868
"php",0.561635220978504,0.27930387189234,0.27930387189234,1.08188445756328
"yegT",0.452426554919451,0.279885033681812,0.279885033681812,1.08057763909002
"fabG",0.192657652104293,0.280537380654286,0.280537380654286,1.07911294622271
"pepB",0.527880774109713,0.280603564726901,0.280603564726901,1.07896447465735
"mhpC",-0.467360057947194,0.280603564726901,0.280603564726901,-1.07896447465735
"cysM",-0.305976058950758,0.280603564726901,0.280603564726901,-1.07896447465735
"rsuA",0.200202050968496,0.280603564726901,0.280603564726901,1.07896447465735
"mscK",-0.172143436732849,0.280603564726901,0.280603564726901,-1.07896447465735
